State Name,District,Constituency Type,No Of Seats,Electors - Male,Electors - Female,Electors - Third Gender,Electors - Total,Electors - NRIs,Electors - Service,Voters - Male,Voters - Female,Voters - Third Gender,Voters - Postal,Voters - Total,Voters - NRIs,Voters - Poll Rejected Votes Postal,Evm Rejected Votes,NOTA Votes,Valid Votes Polled,Tendered Votes,Valid Votes Polled,Tendered Votes
Andhra Pradesh,Alluri Sitharama Raju,GEN,1,1518342,763410,409,2285359,1872,1326,668724,913120,4,19208,1601714,658,481,1,9712,1591520,7,1591520,7
Andhra Pradesh,Anakapalli,SC,3,651522,639939,438,1293703,725,1079,1764728,1574538,101,12235,3352335,733,165,85,56176,3295909,37,3295909,37
Andhra Pradesh,Ananthapuramu,SC,4,2260523,404434,245,2668689,820,2667,1063136,1435171,72,19445,2518425,601,280,713,35144,2482288,23,2482288,23
Andhra Pradesh,Annamayya,ST,3,1714282,1037255,185,2753661,1313,626,997604,1328602,335,1276,2328558,741,392,214,11550,2316402,17,2316402,17
Andhra Pradesh,Bapatla,GEN,3,2309196,2364727,483,4680483,1520,4557,1103501,1231505,253,4260,2340131,612,138,685,50751,2288557,14,2288557,14
Andhra Pradesh,Chittoor,GEN,4,445973,1827680,16,2275047,1023,355,1371630,75507,249,21588,1469458,484,224,424,8674,1460136,23,1460136,23
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,ST,4,1115628,1950879,142,3069137,391,2097,635708,331045,263,1053,968104,35,332,774,22138,944860,47,944860,47
Andhra Pradesh,East Godavari,SC,2,906883,2757253,144,3665660,88,1292,1769820,380392,92,23132,2173473,37,245,8,31430,2141790,31,2141790,31
Andhra Pradesh,Eluru,GEN,3,1868138,1431225,413,3303124,887,2461,1344172,1197199,176,6631,2548562,384,50,581,50322,2497609,44,2497609,44
Andhra Pradesh,Guntur,GEN,2,960191,779208,140,1743204,1406,2259,1694396,631883,189,1867,2328446,111,15,666,47909,2279856,39,2279856,39
Andhra Pradesh,Kakinada,ST,4,1694766,1307494,231,3008229,926,4812,1826407,1218611,88,14195,3059975,674,189,431,9865,3049490,21,3049490,21
